instnm,mean_completions,mean_airea_completions,mean_students_enrolled,rural,tribal,cz_label,pct_airea_completions
Nashua Community College,288.07142857142856,53.857142857142854,1804,0,2,"Nashua, NH",0.1869575998016365
Nashville State Community College,1248.5,85.28571428571429,8576.57142857143,0,2,"Nashville, TN",0.0683105440814692
Nassau Community College,3001.785714285714,87.07142857142857,18704.85714285714,0,2,"New York, NY",0.029006543723973825
National Park College,603.8571428571429,75.42857142857143,2800.9285714285716,1,2,"Hot Springs, AR",0.12491128459900638
Naugatuck Valley Community College,1023.5384615384615,172.30769230769232,6382.538461538462,0,2,NA,0.16834510747031414
Navarro College,1418.857142857143,126.92857142857143,8717.57142857143,1,2,"Dallas, TX",0.08945831655255738
Neosho County Community College,755.9285714285714,79,2079.785714285714,1,2,"Parsons, KS & Chanute, KS",0.10450722857412832
New Mexico Junior College,386.7142857142857,31.714285714285715,2510.8571428571427,1,2,"Odessa, TX & Midland, TX",0.08200960472848172
New Mexico State University-Alamogordo,170.92857142857142,7.857142857142857,1967.8571428571427,1,2,"Alamogordo, NM",0.045967404931048894
New Mexico State University-Dona Ana,1411.2857142857142,141.14285714285714,8109.285714285715,0,2,"El Paso, TX",0.1000101224820326
New Mexico State University-Grants,100,9,958.3571428571429,1,2,"Gallup, NM",0.09
New River Community College,638.0714285714286,120.71428571428571,4524.785714285715,1,2,"Roanoke, VA",0.18918616366282323
New River Community and Technical College,274.35714285714283,63.785714285714285,1742,1,2,"Beckley, WV",0.23249153866180683
Niagara County Community College,1020.7857142857143,76.92857142857143,5608.428571428572,1,2,"Buffalo, NY",0.07536211601707368
Nicolet Area Technical College,504.5,70.07142857142857,1241.2142857142858,1,2,"Rhinelander, WI",0.13889282174713294
Norco College,1446.3571428571427,283.85714285714283,10059.142857142857,0,2,"Los Angeles, CA",0.1962566052644575
Normandale Community College,1257.642857142857,11.357142857142856,9662.57142857143,0,2,"Minneapolis, MN",0.009030499233259498
North Arkansas College,600.5714285714286,111.64285714285715,1954.2142857142858,1,2,"Harrison, AR",0.1858943862987631
North Central Kansas Technical College,398.2857142857143,157.07142857142858,862.7142857142857,1,2,"Beloit, KS",0.39436872309899573
