county,CZ,cz_label
21237,223,"Mount Sterling, KY & Morehead, KY"
48243,507,"Alpine, TX"
10003,90,"Philadelphia, PA"
6005,60,"Stockton, CA & Modesto, CA"
6089,61,"Redding, CA & Chico, CA"
4013,35,"Phoenix, AZ"
12127,101,"Deltona, FL"
12101,105,"Tampa, FL"
12123,92,"Gainesville, FL"
12017,98,"Orlando, FL"
12131,100,"Pensacola, FL"
12031,93,"Jacksonville, FL"
12053,105,"Tampa, FL"
12065,103,"Tallahassee, FL"
12039,103,"Tallahassee, FL"
17043,152,"Chicago, IL"
17161,156,"Davenport, IA"
13215,7,"Columbus, GA"
13039,93,"Jacksonville, FL"
13127,114,"Brunswick, GA"
13049,93,"Jacksonville, FL"
13241,123,"Waynesville, NC"
1089,10,"Huntsville, AL"
1071,8,"Gadsden, AL"
5007,42,"Fayetteville, AR"
4015,37,"Los Angeles, CA"
4005,34,"Prescott Valley, AZ & Flagstaff, AZ"
5073,48,"Magnolia, AR"
5133,57,"Idabel, OK & De Queen, AR & Mena, AR"
5021,46,"Jonesboro, AR"
5107,39,"Forrest City, AR"
5093,56,"Blytheville, AR"
5015,43,"Harrison, AR"
6083,71,"Santa Barbara, CA"
6111,37,"Los Angeles, CA"
6025,38,"Yuma, AZ"
6065,37,"Los Angeles, CA"
6051,66,"Bakersfield, CA"
6023,65,"Eureka, CA"
6093,69,"Klamath Falls, OR & Altamont, OR"
8071,83,"Trinidad, CO"
8123,84,"Fort Collins, CO"
8069,84,"Fort Collins, CO"
9110,88,"Hartford, CT & Bridgeport, CT"
38067,290,"Grafton, ND"
37007,394,"Charlotte, NC"
38053,342,"Williston, ND"
39095,427,"Toledo, OH"
39171,427,"Toledo, OH"
41015,63,"Brookings, OR & Crescent City, CA"
41039,448,"Eugene, OR"
41025,455,"Burns, OR"
42051,463,"Pittsburgh, PA"
42055,253,"Hagerstown, MD & Frederick, MD"
44007,256,"Providence, RI"
45003,471,"Hilton Head Island, SC & Aiken, SC & Bluffton, SC"
13251,115,"Savannah, GA"
12095,98,"Orlando, FL"
16033,131,"Idaho Falls, ID"
16049,137,"Lewiston, ID & Pullman, WA"
16069,137,"Lewiston, ID & Pullman, WA"
16059,138,"Salmon, ID"
17125,146,"Springfield, IL"
16021,135,"Spokane, WA"
17087,142,"Carbondale, IL"
18129,162,"Evansville, IN"
19111,155,"Burlington, IA"
26073,264,"Saginaw, MI"
26115,272,"Detroit, MI"
19051,178,"Ottumwa, IA"
19149,192,"Sioux City, IA"
19063,188,"Spencer, IA"
18081,166,"Indianapolis, IN"
20147,207,"Norton, KS"
36025,383,"Binghamton, NY"
36061,382,"New York, NY"
36065,384,"Syracuse, NY"
8059,72,"Denver, CO"
8037,80,"Rifle, CO & Edwards, CO & Glenwood Springs, CO & Gypsum, CO"
40147,202,"Bartlesville, OK"
